,No.,발명의 명칭,요약,독립항,LINK
11,12,차세대 서열분석을 이용한 결핵균 및 비결핵 항산균 감염의 동정 및 내성 진단(diagnosis of tuberculosis and non-tuberculosis mycobacterial infections and drug resistance using next-generation sequencing),"본 발명은 차세대 서열분석을 이용한 결핵균 및 비결핵 항산균 감염의 진단 기술에 관한 것으로, 더 상세하게는 결핵균과 비결핵 항산균간의 교차 반응 없는 프로브 세트를 설계하고 이를 이용하여 차세대 서열분석함으로써 결핵균 및 비결핵 항산균 감염을 신속하고 정확하게 진단할 수 있는 기술에 관한 것이다. 본 발명에 따르면, 결핵 의심 환자로부터 채취된 검체로부터 균주의 전장 유전체를 분석하여 교차 반응없이 신속하고 정확하게 결핵균과 비결핵 항산균을 판별해 낼 수 있으며, 결핵균의 항생제 내성 여부도 정확하게 판별할 수 있는 장점이 있다. ","[청구항1]
서열번호 1 내지 서열번호 828의 핵산 서열로 표시되는 프로브를 포함하는, 결핵균 또는 비결핵 항산균 감염 진단 및 결핵균의 항상제 내성 검출용 프로브 세트.
[청구항2]
제1항에 있어서, 상기 프로브 세트는 표 1로 표시되는 유전자로 구성된 군으로부터 선택되는 하나 이상의 유전자의 서열분석을 통하여 결핵균 또는 비결핵 항산균을 동정하는 것을 특징으로 하는, 프로브 세트:
[표 1]
.
[청구항3]
제1항에 있어서, 상기 프로브 세트는 표 2로 표시되는 유전자로 구성된 군으로부터 선택되는 하나 이상의 유전자 변이를 검출하는 것을 특징으로 하는, 프로브 세트: 
[표 2]
.
[청구항5]
제1항 내지 제4항 중 어느 한 항의 프로브 세트를 포함하는, 결핵균 또는 비결핵 항산균 감염 및 결핵균의 항생제 내성 진단을 위한 차세대 염기서열 분석용 조성물.
[청구항8]
제7항에 있어서, 상기 (a) 단계는 검체로부터 균주를 분리 배양한 후, 0.3 내지 0.7mm 크기의 비드를 이용하여 10분 내지 20분 동안 파쇄한 후 핵산을 추출하는 것을 특징으로 하는, 진단방법.
[청구항9]
제7항에 있어서, 상기 (b) 단계의 유전자 조합은 결핵균 또는 비결핵 항산균 감염을 판별하기 위한 표 1로 표시되는 유전자 조합인 것을 특징으로 하는, 진단방법:
[표 1]
.
[청구항10]
제7항에 있어서, 상기 (b) 단계의 유전자 조합은 항생제 내성을 판별하기 위한 하기 표 2로 표시되는 유전자 조합을 추가로 포함하는 것을 특징으로 하는, 진단방법:
[표 2]
.
[청구항12]
제7항에 있어서, 상기 (c) 단계 이후, 
(d) 결핵균 또는 비결핵 항산균 감염 여부 판별 결과를 출력하는 단계;를 추가로 포함하는 것을 특징으로 하는, 진단방법.
[청구항13]
제7항에 있어서, 상기 진단방법은 항생제 내성균 및 항생제 민감균이 혼합된 검체에서 항생제 민감균과 항생제 내성균의 판별이 가능한 것을 특징으로 하는, 진단방법.",https://www.keywert.com/detail?uuid=e290dbfd-946d-43c9-ba7a-48eaff3204f7
12,13,"핵 유전자 손상을 최소화한 암 치료를 위한 미토콘드리아 표적 변형 항생제 화합물 및 이를 포함하는 항암 약학 조성물(mitochondrial-targeted antibiotic modified for cancer treatment with minimal nuclear gene damage, and anticancer pharmaceutical composition comprising the same)","본 발명은 핵 유전자 손상을 최소화한 암 치료를 위한 미토콘드리아 표적 변형 항생제 화합물 및 이를 포함하는 항암 약학 조성물에 관한 것이다.
본 발명에 따른 변형 항생제 항암 약물은 암세포의 미토콘드리아만을 표적하는 방식으로 치료 효과를 내기 때문에 핵 DNA를 손상시켜 암세포를 사멸시키는 기존의 화학요법과는 달리 유전자 변성을 일으키지 않아 암의 재발을 예방할 수 있으며, 또한 본 발명에 따른 화합물을 이용한 미토콘드리아 표적 치료법은 일반적인 항암 치료에 의해 약물 저항성을 획득해 치료가 어려운 악성 종양을 효과적으로 치료할 수 있다.","[청구항1]
하기 [화학식 1] 내지 [화학식 3] 중 어느 하나로 표시되는 변형 항생제 항암 화합물:
[화학식 1]
[화학식 2]
[화학식 3]
상기 [화학식 1], [화학식 2], [화학식 3]에서,
D는 플루오로퀴놀론계 항생제로서 X와 연결되고,
C는 플루오로퀴놀론계 항생제 골격 말단의 아민기와 결합하는 카보닐기를 포함한 탄소수 1 내지 30의 알킬기, 탄소수 6 내지 30의 아릴기 및 탄소수 2 내지 30의 헤테로아릴기 중에서 선택되는 어느 하나이며,
X는 O, S 및 NR7 중에서 선택되는 어느 하나이고, 상기 R7은 수소, 탄소수 1 내지 30의 알킬기, 탄소수 6 내지 30의 아릴기 및 탄소수 2 내지 30의 헤테로아릴기 중에서 선택되는 어느 하나이고,
L, L1 및 L2는 서로 동일하거나 상이하고, 탄소수 1 내지 30의 알킬기, 탄소수 2 내지 30의 알케닐기 및 폴리알킬렌글리콜기 중에서 선택되는 어느 하나이며,
R은 수소, 탄소수 1 내지 30의 알킬기, 탄소수 6 내지 30의 아릴기 및 탄소수 2 내지 30의 헤테로아릴기 중에서 선택되는 어느 하나이고,
Q, Q1 및 Q2는 서로 동일하거나 상이하고, N, P, As 및 Sb 중에서 선택되는 어느 하나이며,
R1 내지 R6는 서로 동일하거나 상이하고, 각각 독립적으로 탄소수 1 내지 30의 알킬기, 탄소수 2 내지 30의 알케닐기, 탄소수 6 내지 30의 아릴기 및 탄소수 2내지 30의 헤테로아릴기 중에서 선택되는 어느 하나이고,
A-, A1- 및 A2-는 서로 동일하거나 상이하고, 할로겐, 하이드록실, 카르복실레이트, 설페이트, 설퍼메이트, 설포네이트, 포스페이트, 포스포네이트, 보로네이트 및 (폴리)에틸렌옥시 중에서 선택되는 어느 하나의 음이온이다.
[청구항2]
제1항에 있어서, 
상기 D는 플루오로퀴놀론계 항생제로서, 플루메퀸 (flumequine), 옥솔린산 (oxolinic acid), 로속사신 (rosoxacin), 시녹사신 (cinoxacin), 날리딕산 (nalidixic acid), 피로미드산 (piromidic acid), 피페미드산(pipemidic acid), 시프로플록사신 (ciprofloxacin), 플레록사신 (fleroxacin), 로메플록사신 (lomefloxacin), 나디플록사신 (nadifloxacin), 노르플록사신 (norfloxacin), 오플록사신 (ofloxacin), 페플록사신 (pefloxacin), 루플록사신 (rufloxacin), 에녹사신 (enoxacin), 발로플록사신 (balofloxacin), 그레파플록사신 (grepafloxacin) 레보플록사신 (levofloxacin), 파주플록사신 (pazufloxacin), 스파르플록사신(sparfloxacin), 테마플록사신 (temafloxacin), 토수플록사신 (tosufloxacin), 클리나프록사신 (clinafloxacin), 가티플록사신 (gatifloxacin), 목시플록사신 (moxifloxacin), 시타플록사신 (sitafloxacin), 프룰리플록사신 (prulifloxacin), 베시플록사신 (besifloxacin), 제미플록사신 (gemifloxacin), 트로바플록사신 (trovafloxacin), 델라플록사신 (delafloxacin), 다노플록사신 (danofloxacin), 디플록사신 (difloxacin), 엔로플록사신 (enrofloxacin) 이바플록사신 (ibafloxacin), 마보플록사신 (marbofloxacin), 오비플록사신 (orbifloxacin) 및 사라플록사신 (sarafloxacin) 중에서 선택되는 어느 하나인 것을 특징으로 하는 변형 항생제 항암 화합물.
[청구항6]
제1항에 있어서,
상기 [화학식 1] 내지 [화학식 3]은 암세포의 미토콘드리아를 선택적 표적으로 하는 것을 특징으로 하는 변형 항생제 항암 화합물.
[청구항7]
제1항에 따른 변형 항생제 항암 화합물 또는 그 염을 유효성분으로 함유하는 암 질환의 예방 및 치료용 약학 조성물.",https://www.keywert.com/detail?uuid=e068d9ce-51b4-415f-b889-978c17f7a638
13,14,락토바실러스 델브루키 subsp. 락티스 ckdb001 균주를 포함하는 간섬유증 예방 또는 치료용 약제학적 조성물(a pharmaceutical composition for preventing or treating liver fibrosis containing lactobacillus delbrueckii subsp. lactis ckdb001),"락토바실러스 델브루키 subsp. 락티스 CKDB001 균주를 포함하는 간섬유증 예방 또는 치료용 약제학적 조성물, 간섬유증 예방 또는 개선용 건강기능식품 조성물 및 간섬유증 예방 또는 개선용 건강식품 조성물에 관한 것이다. ","[청구항1]
마우스에 3,5-디에톡시카르보닐-1,4-디하이드로콜리딘 또는 사염화탄소를 투여하여, Col1a, Timp1 및 TGF-β의 발현 수준을 증가시키는 단계; 및
마우스에 수탁번호 KCTC 14149BP 락토바실러스 델브루키 subsp. 락티스 CKDB001 균주를 섭취시키는 단계;를 포함하는, Col1a, Timp1 및 TGF-β의 발현 수준을 감소시키는 방법.",https://www.keywert.com/detail?uuid=d71b6c11-ec67-4f0b-8b33-88df22c777b5
14,15,락토바실러스 델브루키 subsp. 락티스 ckdb001 균주를 포함하는 간섬유증 예방 또는 치료용 약제학적 조성물(a pharmaceutical composition for preventing or treating liver fibrosis containing lactobacillus delbrueckii subsp. lactis ckdb001),"락토바실러스 델브루키 subsp. 락티스 CKDB001 균주를 포함하는 간섬유증 예방 또는 치료용 약제학적 조성물, 간섬유증 예방 또는 개선용 건강기능식품 조성물 및 간섬유증 예방 또는 개선용 건강식품 조성물에 관한 것이다. ","[청구항1]
마우스에 3,5-디에톡시카르보닐-1,4-디하이드로콜리딘 또는 사염화탄소를 투입하여, Col1a, Timp1 및 TGF-β의 발현 수준을 증가시키는 단계; 및
마우스에 수탁번호 KCTC 14149BP 락토바실러스 델브루키 subsp. 락티스 CKDB001 균주를 섭취시키는 단계;를 포함하는, Col1a, Timp1 및 TGF-β의 발현 수준을 감소시키는 방법.",https://www.keywert.com/detail?uuid=33b60485-e9b2-4fcf-a6b0-6ccaf5893f74
15,16,수전해 및 녹차 로즈마리를 이용하여 어류 비린내를 제거하는 친환경 양식 시스템(an eco-friendly aquaculture system that removes fishy odors using water electrolysis and green tea rosemary),"본 발명은 지수식 양식장, 유수식 양식장, 순환식 양식장 등에서 사용하는 여과장치 내부에 수전해 장치에서 생산한 산소를 투입하고, 편백과 라벤더와 녹차와 로즈마리 및 황토, 천일염을 혼합하여 제조한 정수여과재를 볼 형태로 형성하여 투입하며, 살균처리한 정수를 양식 수조에 공급하므로 자연산 어류에 비하여 비린내를 최소화할 수 있고, 어류에 영양분을 충분히 공급하므로 생선의 단백질을 포함한 영양분이 향상되어 어가의 소득을 증대시키며, 친환경 양식 사업을 세계화하고, 항생제 사용을 줄여서 양식 환경을 개선할 수 있는 수전해 및 녹차 로즈마리를 이용하여 어류 비린내를 제거하는 친환경 양식 시스템에 관한 것으로서, 양식장에 투입하는 사료에 항생제를 사용하지 않고 어류에서 발생하는 생선 비린내를 최소화할 수 있도록 수전해와 녹차, 로즈마리를 이용하고, 지수식 양식장, 유수식 양식장, 순환식 양어장 등에서 사용하는 정수장치 내부에 수전해 장치에서 발생한 산소를 공급하고, 편백, 라벤더, 녹차와 로즈마리, 황토, 천일염을 이용한 정수여과재를 제조하며, 살균램프를 이용하여 살균한 물을 양식장에 공급하여 자연산 어류에 비하여 생선 비린내를 최소화시켜서 자연산 생선의 맛을 내며 생선의 단백질을 향상시킬 수 있는 효과가 있다.","[청구항1]
물 또는 전해액에 전류를 공급하고 분해하여 수소와 산소를 분리시켜서 산소를 발생시키는 수전해부(110)와;
외부에서 공급받은 원수를 살균 처리하는 수처리부(120)와;
상기 수전해부(110)에서 공급받는 산소와 상기 수처리부(120)에서 공급받는 처리수를 혼합하여 투입하고, 내측에 살균부(55)와 정수여과재(59)와 스트레이너(54)와 스크린(53)을 형성하는 복수의 정수부(2)와;
상기 정수부(2)에서 생산하는 정수를 수조정수유입관(70)을 통하여 공급받는 양식장수조(100)를 포함하여 양식시스템(1)으로 구성하는 것을 특징으로 하는 친환경 양식 시스템.",https://www.keywert.com/detail?uuid=f6eda7f4-195c-4099-930d-d78af40be712
16,17,초고속 항생제 감수성 검사 및 동정방법(rapid antibiotic susceptibility test and identification method),항생제 감수성 검사와 동정검사를 하나의 과정에서 수행하여 신속하게 미생물에 적합한 항생제 정보를 제공할 수 있는 신속한 항생제 감수성 검사 및 동정방법에 관한 것이다. 본 발명은 (a) 환자로부터 채취한 샘플을 샘플 분리수단이 존재하는 제1 반응 공간으로 이송시키는 단계; (b) 상기 제1 반응 공간 내에서 상기 샘플 내의 균을 상기 분리수단으로 포획함으로써 상기 환자 샘플로부터 분리 및 농축하는 단계; 및 (c) 상기 균의 동정 또는 항생제 감수성 검사를 진행하는 단계를 포함하는 신속한 항생제 감수성 검사 및 동정방법을 제공한다.,"[청구항1]
(a) 환자로부터 채취한 샘플을 샘플 분리수단이 존재하는 제1 반응 공간으로 이송시키는 단계;
(b) 상기 제1 반응 공간 내에서 상기 샘플 내의 균을 상기 분리수단으로 포획함으로써 상기 환자 샘플로부터 분리 및 농축하는 단계; 및
(c) 상기 균의 동정 또는 항생제 감수성 검사를 진행하는 단계;
를 포함하는 신속한 항생제 감수성 검사 및 동정방법.
[청구항10]
제9항에 있어서,
상기 항생제 감수성 검사용 전처리 모듈 내에서 하기 단계를 수행하는 것인 신속한 항생제 감수성 검사 및 동정방법:
 i) 상기 항생제 감수성 검사용 배양액 부분을 포획 분자를 구비하는 자성 입자가 존재하는 제2 반응 공간으로 이송하는 단계;
 ii) 상기 제2 반응 공간 내에서 상기 균을 분리 및 농축하는 단계; 
 iii) 상기 배양액 부분 내의 균의 농도의 증가를 모니터링하는 단계;
 iv) 상기 배양액 부분 내 균의 농도가 10^3 CFU/ml 이상이 될 경우, 상기 배양액 부분을 항생제 감수성 검사 모듈로 이송하는 단계; 및
 v) 상기 배양액 부분 내의 균에 대한 항생제 감수성 검사를 수행하는 단계.
[청구항11]
제10항에 있어서,
상기 항생제 감수성 검사를 하기 전에 상기 배양액 부분을 희석하는 단계를 더 포함하는 신속한 항생제 감수성 검사 및 동정방법.
[청구항13]
환자의 샘플에서 균을 분리 및 농축하는 제1 반응 공간;
상기 제1 반응 공간에서 분리 및 농축된 균의 동정검사를 수행하는 균 동정 검사 모듈;
상기 제1 반응공간에서 분리 및 농축된 균의 항생제 감수성을 검사하는 항생제 감수성 검사 모듈; 및
상기 제1 반응 공간, 상기 균 동정 검사 모듈 및 항생제 감수성 검사 모듈을 제어하고, 각 진행상황 및 결과를 출력하는 컨트롤 모듈;
을 포함하는 신속한 항생제 감수성 검사 및 동정 검사장치.",https://www.keywert.com/detail?uuid=78e31b68-a82a-4207-90f9-c704b30892d4
17,18,트로포미오신 단백질 발현 저하 세포주 및 이의 제조방법(a cell line with reduced tropomyosin protein expression and method for producing thereof),"본 발명은 갑각류의 조직 절편을 추출하는 단계, 상기 추출된 조직 절편으로부터 지방 및 표피 조직을 제거하여 근육 조직을 수득하는 단계, 상기 수득된 근육 조직에 콜라게나이즈(collagenase)를 처리하고 배양액과 혼합하여 혼합물을 제조하는 단계, 세포 여과기를 통해 상기 혼합물로부터 세포를 분리하는 단계 및 상기 분리된 세포를 항생제를 포함한 배양액에서 반복 배양하는 단계를 포함하는 트로포미오신 단백질 발현 저하 갑각류 유래 세포주 제조방법 및 이로부터 제조된 트로포미오신 단백질 발현 저하 갑각류 유래 세포주를 제공한다. ","[청구항1]
갑각류의 조직 절편을 추출하는 단계;
상기 추출된 조직 절편으로부터 지방 및 표피 조직을 제거하여 근육 조직을 수득하는 단계;
상기 수득된 근육 조직에 콜라게나이즈(collagenase)를 처리하고 배양액과 혼합하여 혼합물을 제조하는 단계;
세포 여과기를 통해 상기 혼합물로부터 세포를 분리하는 단계; 및
상기 분리된 세포를 항생제를 포함한 배양액에서 반복 배양하는 단계
를 포함하는 트로포미오신 단백질 발현 저하 갑각류 유래 세포주 제조방법.
[청구항8]
청구항 1 내지 7의 제조방법 중 어느 한 항의 제조방법에 의해 제조된 트로포미오신 단백질 발현 저하 갑각류 유래 세포주.
[청구항9]
청구항 1 내지 7의 제조방법 중 어느 한 항의 제조방법에 의해 제조된 트로포미오신 단백질 발현 저하 갑각류 유래 세포주를 포함하는 알레르기 반응 완화용 식품 조성물.
[청구항10]
청구항 1 내지 7의 제조방법 중 어느 한 항의 제조방법에 의해 제조된 트로포미오신 단백질 발현 저하 갑각류 유래 세포주를 포함하는 피부 알레르기 반응 완화용 화장료 조성물.",https://www.keywert.com/detail?uuid=62246f0c-693d-4f47-9426-721d453d6ed5
18,19,"Lipid nanoparticle에 담지된 신규 화합물, 이의 제조방법 및 이를 포함하는 항생제 조성물(new compounds encapsulated in lipid nanoparticle, and their preparation method thereof, and antibiotic composition comprising the same)","본 발명은 하기 화학식 1-1로 표시되는 티오펩타이드 유래 단위 및 지방산 유래 잔기를 포함하는 단위를 포함하는, 티오펩타이드-지질 접합체에 관한 것으로, 일 양태에 따른 티오펩타이드-지질 접합체는 지질나노입자에 캡슐화가 용이하며 우수한 항균효과를 구현할 수 있다.
[화학식 1-1]","[청구항1]
하기 화학식 1-1로 표시되는 티오펩타이드 유래 단위 및 지방산 유래 잔기를 포함하는 단위를 포함하는, 티오펩타이드-지질 접합체.
[화학식 1-1]
[청구항2]
제1항에 있어서,
상기 티오펩타이드-지질 접합체는 하기 화학식 1로 표시되는 것인, 티오펩타이드-지질 접합체:
[화학식 1]
상기 화학식 1에서,
L1 및 L2는 각각 독립적으로 2가의 연결기이고;
X1은 히드록시기 또는 이고;
R1 및 R11은 각각 독립적으로 (C3-C50)알킬, (C3-C50)알케닐 또는 (C3-C50)알키닐이고;
상기 R1 및 R11의 알킬, 알케닐 및 알키닐은 (C3-C50)알킬카보닐옥시, (C3-C50)알케닐카보닐옥시 및 (C3-C50)알키닐카보닐옥시에서 선택되는 하나 이상으로 더 치환될 수 있고;
n은 0 또는 1이다.
[청구항3]
제2항에 있어서,
상기 L1 및 L2는 각각 독립적으로 단일결합, (C1-C10)알킬렌, (C3-C12)시클로알킬렌, (C3-C12)헤테로시클로알킬렌, (C6-C12)아릴렌 또는 (C3-C12)헤테로아릴렌인, 티오펩타이드-지질 접합체.
[청구항9]
하기 화학식 12로 표시되는 티오펩타이드 화합물과 하기 화학식 B의 지방산 유래 화합물을 반응시켜 화학식 1의 티오펩타이드-지질 접합체를 제조하는 단계를 포함하는, 제조 방법.
[화학식 1]
[화학식 12]
[화학식 B]
상기 화학식 1, 12 및 B에서,
R1, X1, L1, L2 및 n은 상기 제2항에서의 정의와 동일하다.
[청구항11]
제1항 내지 제8항에서 선택되는 어느 한 항의 티오펩타이드-지질 접합체를 포함하는, 지질나노입자.
[청구항13]
제11항에 따른 지질나노입자를 포함하는, 항생제 조성물.",https://www.keywert.com/detail?uuid=1c43e2b8-d35b-451f-a056-eb56d1e8fc33
19,20,펩타이드 또는 이의 혼합물을 유효성분으로 함유하는 베체트병 또는 류마티스 관절염 예방 또는 치료용 약학조성물(pharmaceutical composition for preventing or treating behcet’s disease or rheumatoid arthritis comprising peptides or mixture thereof),"본 발명은 펩타이드 또는 이의 혼합물을 유효성분으로 함유하는 베체트병 및 류마티스 관절염 예방 또는 치료용 조성물에 관한 것으로, 보다 상세하게는 P1 내지 P5 펩타이드 또는 이들의 혼합물을 자가면역반응으로 유발된 베체트병 마우스 동물모델에 복강주사하거나 피부외용제로 도포한 결과, 베체트병 마우스 모델의 피부 궤양과 피부 염증이 개선된 것이 확인되었으며, 류마티스 관절염 동물모델의 관절염 호전 효과가 확인됨에 따라, 상기 P1 내지 P5 펩타이드 또는 이들의 혼합물을 유효성분으로 함유하는 조성물은 베체트병 및 류마티스 관절염 치료제로 제공될 수 있다.","[청구항1]
서열번호 1로 표시되는 아미노산 서열로 이루어진 펩타이드, 서열번호 2로 표시되는 아미노산 서열로 이루어진 펩타이드 및 서열번호 4로 표시되는 아미노산으로 이루어진 펩타이드를 포함하는 혼합물을 유효성분으로 함유하는 류마티스관절염 예방 또는 치료용 약학조성물.
[청구항3]
서열번호 1로 표시되는 아미노산 서열로 이루어진 펩타이드, 서열번호 2로 표시되는 아미노산 서열로 이루어진 펩타이드 및 서열번호 4로 표시되는 아미노산으로 이루어진 펩타이드를 포함하는 혼합물을 유효성분으로 함유하는 류마티스관절염 예방 또는 개선용 건강식품.",https://www.keywert.com/detail?uuid=003c2fed-59f8-431e-9cbd-eda41011b504
20,21,꾸지뽕 추출물 또는 분획물을 유효성분으로 포함하는 어류 세균성 질병에 대한 항균 조성물(antimicrobial composition against fish bacterial disease comprising cudrania tricuspidata bureau extract or fraction as an active ingredient),"본 발명은 꾸지뽕 추출물 또는 분획물을 유효성분으로 포함하는 어류 세균성 질병에 대한 항균 조성물 및 꾸지뽕으로부터 유래된 화합물을 유효성분으로 포함하는 어류 세균성 질병에 대한 항균 조성물에 관한 것으로, 어류에서 높은 폐사를 유발하는 병원성 세균에 대하여 우수한 항균 활성이 있으며, 특히 항생제 내성 어병세균에 대해서도 우수한 항균활성을 보유하고 있다.","[청구항1]
하기의 화학식 7 내지 14로 이루어진 군에서 선택된 1종 이상의 화합물을 포함하는, Streptococcus iniae, Streptococcus parauberis, Lactococcus garvieae 및 Vibrio anguillarum으로 이루어진 군에서 선택된 1종 이상에 의한 어류 세균성 질병에 대한 항균 조성물:
[화학식 7]
;
[화학식 8]
;
[화학식 9]
;
[화학식 10]
;
[화학식 11]
;
[화학식 12]
;
[화학식 13]
; 및
[화학식 14]
.
[청구항2]
제1항에 있어서, 상기 어류는 양식어류 또는 관상어인 것인, 어류 세균성 질병에 대한 항균 조성물.
[청구항3]
제1항에 있어서, 상기 양식어류는 넙치, 우럭, 돔, 능성어, 숭어, 농어, 전어, 가자미, 복어, 고등어, 노래미, 다랑어, 민어, 방어, 전갱이, 잉어, 향어, 뱀장어, 메기, 미꾸라지 및 붕어로 이루어진 군에서 선택된 1종 이상인 것인, 어류 세균성 질병에 대한 항균 조성물.
[청구항4]
제1항에 있어서, 상기 어류 세균성 질병은 연쇄상구균증 및 비브리오병으로 이루어진 군에서 선택된 1종 이상인 것인, 어류 세균성 질병에 대한 항균 조성물.
[청구항5]
하기의 화학식 7 내지 14로 이루어진 군에서 선택된 1종 이상의 화합물을 포함하는, Streptococcus iniae, Streptococcus parauberis, Lactococcus garvieae 및 Vibrio anguillarum으로 이루어진 군에서 선택된 1종 이상에 의한 어류 세균성 질병의 예방 또는 치료용 약제학적 조성물:
[화학식 7]
;
[화학식 8]
;
[화학식 9]
;
[화학식 10]
;
[화학식 11]
;
[화학식 12]
;
[화학식 13]
; 및
[화학식 14]
.
[청구항6]
하기의 화학식 7 내지 14로 이루어진 군에서 선택된 1종 이상의 화합물을 포함하는, Streptococcus iniae, Streptococcus parauberis, Lactococcus garvieae 및 Vibrio anguillarum으로 이루어진 군에서 선택된 1종 이상의 어류 병원성 세균에 대한 항균 활성을 갖는 어류 사료용 조성물:
[화학식 7]
;
[화학식 8]
;
[화학식 9]
;
[화학식 10]
;
[화학식 11]
;
[화학식 12]
;
[화학식 13]
; 및
[화학식 14]
.
[청구항8]
하기의 화학식 7 내지 14로 이루어진 군에서 선택된 1종 이상의 화합물을 이용한, Streptococcus iniae, Streptococcus parauberis, Lactococcus garvieae 및 Vibrio anguillarum으로 이루어진 군에서 선택된 1종 이상에 의한 어류 세균성 질병의 예방 또는 치료방법:
[화학식 7]
;
[화학식 8]
;
[화학식 9]
;
[화학식 10]
;
[화학식 11]
;
[화학식 12]
;
[화학식 13]
; 및
[화학식 14]
.",https://www.keywert.com/detail?uuid=acb78000-bb90-42d9-9171-f3d67b71dc76
21,22,신규 화합물 및 이를 유효성분으로 포함하는 그람음성균에 대한 항생제(novel compound and antibiotics against gram-negative bacteria comprising the same as an active ingredient),"본 출원은 신규 화합물 및 이의 그람음성균에 대한 항생 용도를 제공하며, 그람음성균의 쿼럼센싱 억제 및/또는 그람음성균의 세균막 형성을 억제하여 표준 치료 항생제와 함께 사용할 때 상승된 항생 활성을 나타낸다.","[청구항1]
아래 화학식 1의 화합물, 이의 이성질체, 및 이들의 약학적으로 허용 가능한 염으로 이루어진 군에서 선택되는 1종 이상을 유효성분으로 포함하는, 항생제:
[화학식 1]
상기 화학식 1에서,
상기 는 비치환된 C6의 아릴이고,
상기 R3는메틸기이고,
상기 R1 및 R2는 모두 페닐기, 파라메틸페닐기 또는 파라메톡시페닐기이다.
[청구항2]
제1항에 있어서, 상기 화학식 1의 화합물은 아래 화합물들로 이루어지는 군에서 선택되는 것인, 항생제:
1) 3-(디페닐메틸렌)-2-메틸이소인돌린-1-온{3-(diphenylmethylene)-2-methylisoindolin-1-one},
2) 3-(디-p-톨릴메틸렌)-2-메틸이소인돌린-1-온{3-(di-p-tolylmethylene)-2-methylisoindolin-1-one}, 및
3) 3-(비스(4-메톡시페닐)메틸렌)-2-메틸이소인돌린-1-온{3-(bis(4-methoxyphenyl)methylene)-2-methylisoindolin-1-one}.
[청구항3]
제1항에 있어서, 그람음성균에 대하여 항생 활성을 갖는, 항생제.
[청구항5]
제1항에 있어서, 베타락탐계 항생제, 세균 세포막 투과 억제제, 세균 리보솜 억제제, 세균 핵산 합성 억제제, 및 세균 엽산 합성 억제제로 이루어지는 군에서 선택되는 1종 이상의 제2 항생제를 추가로 포함하는, 병용 항생제.
[청구항7]
아래 화학식 1의 화합물, 이의 이성질체, 및 이들의 약학적으로 허용 가능한 염으로 이루어진 군에서 선택되는 1종 이상을 유효성분으로 포함하는, 그람음성균의 감염 또는 그람음성균에 의하여 유발되는 질병의 예방 또는 치료용 약학 조성물:
[화학식 1]
상기 화학식 1에서,
상기 는 비치환된 C6의 아릴이고,
상기 R3는 메틸기이고,
상기 R1 및 R2는 모두 페닐기, 파라메틸페닐기 또는 파라메톡시페닐기이다.
[청구항8]
제7항에 있어서,
상기 화학식 1의 화합물은 아래 화합물들로 이루어지는 군에서 선택되는 것인, 약학 조성물:
1) 3-(디페닐메틸렌)-2-메틸이소인돌린-1-온{3-(diphenylmethylene)-2-methylisoindolin-1-one},
2) 3-(디-p-톨릴메틸렌)-2-메틸이소인돌린-1-온{3-(di-p-tolylmethylene)-2-methylisoindolin-1-one}, 및
3) 3-(비스(4-메톡시페닐)메틸렌)-2-메틸이소인돌린-1-온{3-(bis(4-methoxyphenyl)methylene)-2-methylisoindolin-1-one}.
[청구항9]
제8항에 있어서, 상기 그람음성균은 에스케리챠 속 세균, 슈도모나스 속 세균, 아시네토박터 속 세균, 엔테로박터 속 세균, 및 클렙시엘라 속 세균으로 이루어진 군에서 선택된 1종 이상인, 약학 조성물.
[청구항10]
제7항에 있어서, 상기 그람음성균은 에스케리챠 속 세균이고,
에스케리챠 속 세균에 의하여 유발되는 질병은 장염, 크론병, 궤양성 대장염, 세균성이질, 요로감염증, 피부감염, 균혈증, 또는 패혈증인, 약학 조성물.
[청구항11]
제7항에 있어서, 상기 그람음성균은 슈도모나스 속 세균이고,
슈도모나스 속 세균에 의하여 유발되는 질병은 피부감염, 욕창, 폐렴, 균혈증, 패혈증, 심내막염, 수막염, 외이도염, 중이염, 각막염, 골수염, 장염, 복막염, 또는 낭포성섬유증인, 약학 조성물.
[청구항12]
제7항에 있어서, 상기 그람음성균은 아시네토박터 속 세균이고,
아시네토박터 속 세균에 의하여 유발되는 질병은 피부감염, 폐렴, 균혈증, 또는 패혈증인, 약학 조성물.
[청구항13]
제1항의 항생제를 포함하는, 사료 첨가제.
[청구항14]
제1항의 항생제를 포함하는, 소독제.
[청구항15]
제1항의 항생제를 포함하는, 세척제.",https://www.keywert.com/detail?uuid=475bef4c-17f0-4ca2-b4d6-e6cee38b297f
